h,d,a,k,setPk_max,naysayerFors,naysayerForsHash,WotsHashNaysayer,wotsNaysayer,xmssNaysayer,setSign
9,5,34,7,not found,not found,not found,not found,not found,not found,not found
9,5,39,6,not found,not found,not found,not found,not found,not found,not found
9,5,40,6,not found,not found,not found,not found,not found,not found,not found
9,5,47,5,not found,not found,not found,not found,not found,not found,not found
9,5,48,5,not found,not found,not found,not found,not found,not found,not found
9,5,59,4,not found,not found,not found,not found,not found,not found,not found
9,5,60,4,not found,not found,not found,not found,not found,not found,not found
9,6,4,59,66999,723650,1856806,1426639,1232980,690773,66696
9,6,4,60,66987,724731,1869521,1428580,1230888,691794,66708
9,6,5,47,66999,731988,1715428,1426052,1228052,690475,66708
9,6,5,48,66999,733315,1727906,1427744,1229716,691850,66696
9,6,6,39,66999,740083,1621525,1426573,1228661,690149,66708
9,6,6,40,66999,741728,1634790,1427993,1238688,691818,66708
9,6,7,34,66999,749529,1564439,1427685,1238448,691221,66696
9,6,8,30,66999,755848,1517999,1428011,1230563,691754,66708
9,6,9,26,66999,762504,1470068,1426828,1225223,690105,66708
9,6,10,24,66999,772218,1448626,1429462,1231558,691782,66696
9,6,12,20,66999,788238,1402655,1429109,1231245,691794,66708
9,6,13,18,66987,794968,1377762,1426927,1229291,690117,66708
